Time, Seller, Reward Winner, TokenId, Mint Price ETH, Selling Price ETH, Up Sold, Royalty, Reward
2021-05-24T07:17:20.000Z, '0xa9ce72f184b0779afcbb02a7c0fa17fbde2b9246', '0xa9ce72f184b0779afcbb02a7c0fa17fbde2b9246', 2246, 0.08, 1.3, 1625%, 50%, 0.065 
2021-05-24T07:17:35.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 1862, 0.08, 0.55, 687.5%, 50%, 0.0275 
2021-05-24T07:29:28.000Z, '0x2acddd136d89a97252a014487d369cd6d4a0e1ed', '0x2acddd136d89a97252a014487d369cd6d4a0e1ed', 5068, 0.08, 0.8636, 1079.5%, 50%, 0.04318 
2021-05-24T08:22:47.000Z, '0x6903f3a1540946c34e3a577ad6ffcbe43356dcbe', '0x514b1861561fddf86baf8462e001a1584e1b7b83', 6911, 0.08, 0.41, 512.5%, 50%, 0.0205 
2021-05-24T08:23:34.000Z, '0x5091c124c738552d00086ce6c37f077c07856e74', '0x5091c124c738552d00086ce6c37f077c07856e74', 8781, 0.08, 0.7, 875%, 50%, 0.035 
2021-05-24T09:22:09.000Z, '0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0', '0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0', 9637, 0.08, 0.8499, 1062.375%, 50%, 0.042495 
2021-05-24T09:34:57.000Z, '0x95e8a4792d7e5bf6ce3973184400cc9c37b6ae67', '0x95e8a4792d7e5bf6ce3973184400cc9c37b6ae67', 6652, 0.08, 0.42, 525%, 50%, 0.021 
2021-05-24T09:37:45.000Z, '0x53fed1eb683745352886a363cc0b6e3415824ec8', '0x53fed1eb683745352886a363cc0b6e3415824ec8', 348, 0.08, 0.7999, 999.8749999999999%, 50%, 0.039995 
2021-05-24T09:47:07.000Z, '0x88d54132954d9a0cc090beb6a8f9bf08937854bd', '0x88d54132954d9a0cc090beb6a8f9bf08937854bd', 7659, 0.08, 0.39, 487.5%, 50%, 0.0195 
2021-05-24T09:58:52.000Z, '0x7b15e6c439b27a553b65a9904ce571da6691a0fb', '0x7b15e6c439b27a553b65a9904ce571da6691a0fb', 321, 0.08, 0.24400000000000008, 305.0000000000001%, 50%, 0.012200000000000004 
2021-05-24T10:08:30.000Z, '0x7b15e6c439b27a553b65a9904ce571da6691a0fb', '0x7b15e6c439b27a553b65a9904ce571da6691a0fb', 426, 0.08, 0.232, 290%, 50%, 0.0116 
2021-05-24T10:10:30.000Z, '0x7b15e6c439b27a553b65a9904ce571da6691a0fb', '0x7b15e6c439b27a553b65a9904ce571da6691a0fb', 179, 0.08, 0.24200000000000005, 302.50000000000006%, 50%, 0.012100000000000003 
2021-05-24T10:12:47.000Z, '0x7b15e6c439b27a553b65a9904ce571da6691a0fb', '0x7b15e6c439b27a553b65a9904ce571da6691a0fb', 313, 0.08, 0.268, 335%, 50%, 0.0134 
2021-05-24T10:23:32.000Z, '0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7', '0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7', 6650, 0.08, 0.383, 478.74999999999994%, 50%, 0.01915 
2021-05-24T10:30:37.000Z, '0xcf474bd551eb74d765451ec654022b147dc1a312', '0xcf474bd551eb74d765451ec654022b147dc1a312', 8595, 0.08, 0.55, 687.5%, 50%, 0.0275 
